Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Australia,682.0373967465567,653.4568807344318,634.2272932818637,726.2518426639318,746.2682224591249,739.5003901428864,811.0206825280112,807.7314660383181,687.3858374566931,568.3194804171022,497.61354724088636,477.6590737461591,421.8565535205909,374.1623242599773,385.37864178111363,335.04260234459093,265.09833054097726,241.78211420547726,242.93658513205682,255.14616068881816,291.8445604737045,316.3200131342955,296.8247316540341,288.3742238318182,170.16881813349028,144.62819373409002,119.08756933469704,93.54694493529678
Austria,275.98010566659093,256.8068685296591,288.1139575544318,301.46071946693183,288.9654756085114,283.65814333102276,294.3956257706818,270.9301740728977,245.32635163011363,254.18689495720454,217.1612739899091,190.89650404482956,159.5567364915682,122.12380261813637,123.65298905329546,128.75281150756817,114.20941055572729,122.25296127122728,124.02749421111365,119.45905788130682,141.79060422138636,147.03578857764774,147.11037614281818,126.98383431985226,84.48198863846483,75.42442119129555,66.36685374412264,57.30928629695336
Belgium,263.6703920660227,272.4563444322614,305.9279283681818,319.91258154701137,317.6086582244318,347.5038995957955,355.74721935090906,347.5348196582955,292.9562779832955,238.24381849,220.19706284622728,210.18646785954544,185.36684000876136,153.8550373307159,169.49730005267045,172.91035950829544,144.5172748824659,150.61291739147725,161.38002588886363,155.19821580761365,192.71974920602273,194.7757409596591,186.69106615067042,173.2070031771591,129.9673363889051,121.9224666307291,113.87759687255311,105.83272711437894
Bulgaria,2168.131901999091,2809.01273990875,2811.7055239918186,2167.563160606023,2059.222448383182,2246.2030305226135,2120.315968771705,1797.1114526386364,1531.4624303363637,1127.0237056098865,975.9414960106819,858.7162469761363,655.8246142806819,515.2212757503409,486.14656395376136,559.36179157,470.6393214204432,441.2943527068864,388.7401257282614,396.15129147110224,468.2594674205909,425.94052343672723,424.974389178375,386.89650462576134,-214.35526813668548,-325.809890678589,-437.2645132205216,-548.7191357624542
Canada,741.2945705291136,727.9231369906591,727.1953811237158,819.8384592445681,781.8966189945681,718.2327599090114,747.4398664565568,756.4960432013977,675.2139186556705,590.3295474735568,492.10320453549997,434.9688587840568,407.9403211728977,364.6977327269773,413.67407041342045,338.1830238595909,299.98403196485225,292.9198594862159,291.9163191614432,295.1694371568864,340.41860115388636,360.44379232556815,327.33527627454544,314.6995216665909,190.49025089360657,164.8617564542219,139.2332620148445,113.60476757545985
"Croatia, Rep. of",1236.5995726735227,1145.5173717289772,835.1687303031817,908.5071414728409,839.0365029682955,752.7655610022728,784.5737024232953,652.4700327488637,495.77668187795456,382.47317007897726,342.5744805478409,307.15043092511365,287.06806028488637,220.81253849951136,261.6240229522727,272.95263859920453,251.8204825230682,215.98241563670453,225.94056733590912,225.57824142871593,284.7654977060227,354.5393387503409,355.22070474613633,235.28454267613634,17.462927714994294,-20.7207128341106,-58.90435338321549,-97.08799393230584
Cyprus,598.5451982753409,621.8578386017841,688.5949320136591,707.1484602236591,751.4757443419659,751.7418070719206,699.44840275425,681.115837163034,612.0997884895228,542.383044801159,422.54675029364773,440.66006731281817,432.817383072,393.3855606568068,355.6386598695682,398.28867848520457,357.0135126798523,329.37312319879544,386.85915661806814,517.1418543315455,401.76135356684085,490.59302239636366,521.5574340899886,339.93616127098863,329.39484270474713,314.2731508825309,299.15145906031466,284.02976723810207
Czech Rep.,1139.047101499091,1009.5373683953408,1098.260145880341,1010.2722026079545,1015.7310606547727,1164.824998147159,1031.1440539335226,850.7449555761364,724.9833059160227,593.13802806,496.4009332680682,426.3926756634091,359.70488934954545,274.7001768454545,319.441240935,295.67450999931816,247.48642155573864,261.8251164777273,250.7125866465909,259.2769380869318,316.28039090022725,333.07079644636366,301.05412746545454,272.4570889263636,23.693013835087186,-21.252082102218992,-66.19717803953972,-111.1422739768459
Denmark,360.0845289900568,394.8703902831705,382.0701310093522,379.83253227477275,377.3078677108296,379.12997511221596,387.57969182145456,358.3132739779886,322.25561753825,269.3055485063182,237.2301579673068,239.39822759175001,204.90929489638637,166.02523411261362,185.10548426967046,173.85602873418182,144.50342640978408,133.6801177993409,136.031314016625,128.39161523402274,151.517933783,154.81346061898864,146.95561341978407,137.49405261063637,74.87831878525685,61.0330458924509,47.18777299964131,33.34250010683536
"Estonia, Rep. of",2489.9865752201135,2111.274997495682,2007.8128281268182,1908.082957451591,1713.9088754526135,1653.0845121169318,1538.1624225093183,1273.9635591213637,1099.0967996555682,925.1306197889772,832.0204613448864,639.3281922296591,629.9282604264431,511.2067721454659,487.4950888913636,516.6943795916818,434.25682746652274,410.3318403329659,429.6111000073637,392.8059240155568,453.86932527610224,446.5652887367614,393.9561471499546,313.999632929875,-121.67952409479767,-210.12246398066054,-298.5654038665234,-387.0083437523863
Finland,408.24354920902266,441.9557265704772,447.12215005029543,434.4067534334318,463.2282808955113,512.8118057344318,550.9791722309545,513.9167371841477,464.1845828628182,376.87189941351136,311.83682467688635,329.3216417888864,289.3116545495909,226.40515658502272,251.7753119741932,259.85059990125,216.23753554111363,209.4558951830227,210.6874493610909,200.5115097659318,220.8916887278864,214.19710356544317,187.30128412519318,179.37416432082955,138.0614184607839,122.70340367880999,107.34538889683608,91.98737411486218
France,311.0240501967159,324.6696141953409,341.86644957330685,353.42139299445455,346.8828411033523,343.9602821389773,304.0817249660227,274.01997655772726,229.4721118621591,194.93029133204544,186.86485241113635,172.28766274363636,152.786502095125,151.51751496993182,193.07093587039773,188.4324664539432,154.87397123451134,165.15871711792045,166.09579424268182,188.89612826061364,258.9321420054773,287.1693580826932,256.7097295305,243.65994059926135,168.8548716265468,163.06064652154237,157.26642141653974,151.47219631153712
Germany,351.0719966071591,447.74612690545456,416.7500887568182,420.12390376909093,427.5401494188636,471.5601084230682,483.11274954590914,447.2556206596591,327.84031001522726,282.7221371444318,252.92787208909093,232.23046707327273,202.6869155378068,178.59022296345455,182.57557078259092,195.29941237779548,172.73278862614774,179.85056860693183,178.28540940943182,177.4042608689659,221.54182750575,220.2748415277614,195.68062611927272,172.58202708867046,113.41185704603049,99.69018560363838,85.96851416124628,72.24684271885417
Greece,660.9415392175,602.91579488625,635.3467787627727,648.191361895375,636.7331265703182,790.5199973549886,777.7344396282386,660.5071996678296,515.3463356040568,421.92266274649995,418.8939849760114,358.2808349850227,341.57983854547723,288.14112710323866,272.7734209258068,272.8565530097159,259.3028171529773,280.0648674193182,261.6484803612841,249.87944822582952,303.5563101702614,298.35845542732955,287.1411641042727,276.7394474924659,153.82383673178265,131.06515704954654,108.30647736731771,85.5477976850816
Hungary,961.358434689091,961.9452817686364,899.5833295095455,915.7417078792046,956.0364624404546,934.3534127859092,890.7696761085227,662.3654592226137,555.5878184060227,422.0883840953409,364.7715641005682,342.19311263818184,262.3450762549318,239.09965194857952,330.4060457837841,264.431224219875,232.71587517404544,244.7837425484432,242.37970326044316,296.04253484523866,437.9436942427955,540.839690447625,450.8195828404205,317.52102090894317,131.87344133021543,100.00290834956832,68.1323753689212,36.26184238827409
Iceland,240.38779626867046,239.37191357555682,217.07511724694317,216.4138856104773,221.30793246485229,199.10532626028407,185.56021711418182,187.9346615394091,163.03996790544318,143.3481895890909,129.30355297857955,5825.218628585807,114.52904471275001,102.61851561289772,124.88209638472728,102.49418397948862,84.00434441420454,75.816869795,77.64234159904545,77.10529760303409,1309.3093139796476,92.95563633926136,79.74023013153409,80.34705369563636,412.4049219158742,411.0989419445227,409.7929619731708,408.4869820018189
Ireland,397.64534153742045,403.9570231153409,397.351183103,385.6164767108068,449.56993161445456,444.16520203735223,437.1610230572614,505.5557897676023,391.5659995626704,327.54042194543183,311.0174325350909,269.8090706913295,219.91501846363636,190.24489927607956,211.51673682252274,206.17231474981818,207.24171738450002,187.37460603355683,182.57283612448862,177.76041689597727,186.82867237051138,183.28487042376136,174.93242007697725,191.54876627354545,118.36524752082914,104.36664008725347,90.36803265367416,76.36942522009849
Italy,276.77128462123864,248.55722312046592,266.8868556886932,268.06929750365913,271.98464669607955,286.5780262391932,275.34299251357953,267.84095706339775,229.75877092160226,206.40526056638637,196.1100397354886,180.99821608594317,160.73574083175,153.74317183357954,162.36511111538636,179.56928332417044,166.89411952518182,165.85230322672726,149.18087410379545,143.44371152089772,169.9376774894091,174.06749014377272,176.5922357344659,165.03662527020455,129.53884563486827,123.42621356940799,117.31358150394772,111.20094943848562
Japan,242.49629150270457,276.5664422359091,301.4128385060227,323.74676823079545,307.7639080467045,281.84091783818184,313.1246764432954,341.7996698370455,311.3692425090909,289.55081639595454,290.6139450431023,279.66429640561364,297.28488704282955,251.13406087072727,262.5319656032955,243.09279077792044,245.49155609801136,264.0090951724091,292.78853492909093,300.6900944808409,335.4135711271023,334.6003117870114,302.3970036591932,287.00312031431815,292.36928036850617,292.50420011512944,292.63911986175265,292.7740396083759
"Korea, Rep. of",666.511978999659,639.5455768974999,720.4742670189772,872.2952906955682,771.8605031304545,741.0257356744319,809.4055363936363,688.9269409321591,636.0322417097727,618.7165692385228,476.0161908944319,418.6351938239773,375.3843951465909,382.6160543418182,483.01792965465916,416.06188027977277,380.8944746208636,367.76511788943185,358.1749533485227,330.9129291835227,358.69705408555683,383.01674647676134,365.70220341861364,337.1838260245,251.95595325471368,230.11618421549065,208.2764151762749,186.43664613705187
Latvia,1620.029536569318,1305.371624465909,1069.0830262855682,1033.1066698360228,1044.9801938643182,772.1976612740909,669.096792652159,588.9511800243182,520.6932332581817,395.31748854102267,343.4599099331818,961.1233059593181,205.89080237022728,157.99063242977275,182.31257701573864,385.2762881991364,227.05679795602273,241.36273857060226,167.54448929497727,157.73681349931817,184.20395740892047,239.4735363953864,248.80642372973864,290.7702200773182,-85.07174366372055,-135.25026948883897,-185.42879531397193,-235.6073211391049
