Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
"Afghanistan, Islamic Rep. of",3.0,1.0,3.0,2.0,2.0,1.0,2.0,5.0,8.0,2.0,10.0,12.0,7.0,3.0,4.0,4.0,4.0,10.0,5.0,3.0,5.0,4.0,5.0,5.0,7.0,7.0,4.0,6.0
"Afghanistan, Islamic Rep. of",2.0,1.6,1.6,1.4,1.0,2.2,1.8,1.4,2.8,1.4,1.8,1.8,2.6,1.8,1.6,2.6,2.8,1.2,1.4,2.6,2.2,2.6,1.8,1.8,1.8,2.6,1.6,1.8
Albania,2.0,1.0,1.0,1.0,1.0,1.2,1.0,2.0,1.2,2.0,2.0,1.0,2.0,1.2,1.0,1.0,1.6,1.0,1.4,1.2,3.0,1.0,2.0,1.0,1.2,1.0,1.0,1.0
Albania,1.4,1.4,1.8,1.0,1.4,1.4,2.0,2.0,1.2,1.0,1.4,1.8,1.0,1.2,1.4,2.0,1.6,1.8,1.0,2.6,2.0,1.0,2.0,1.0,1.4,1.2,1.4,1.2
Algeria,1.2,1.0,1.0,1.6,1.0,5.0,1.0,3.0,5.0,2.0,3.0,1.0,7.0,1.0,2.0,1.2,1.0,2.0,1.4,1.0,2.0,1.6,1.0,1.0,1.0,1.0,3.0,1.0
Algeria,1.4,1.2,1.0,1.0,1.2,1.8,1.4,1.8,1.2,1.2,1.2,1.6,1.0,1.2,1.4,1.8,1.0,1.2,1.2,1.2,1.4,1.0,1.0,1.0,1.0,1.2,1.0,1.0
American Samoa,1.2,1.4,1.0,1.2,1.2,2.2,1.2,1.2,1.0,1.0,1.0,1.8,1.6,1.0,1.4,1.4,1.2,1.4,1.6,1.6,1.2,1.4,1.8,1.4,1.0,1.4,1.2,1.6
Angola,1.0,1.2,1.0,1.0,1.2,5.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.2,3.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0
Anguilla,1.4,1.0,1.2,1.8,1.0,1.2,1.2,1.2,1.6,1.4,2.4,2.0,1.2,2.2,2.0,1.4,1.0,1.4,1.4,1.6,1.4,1.2,1.0,1.8,3.0,1.8,1.2,1.0
Antigua and Barbuda,1.0,1.0,1.4,1.0,2.0,1.6,1.4,1.4,1.2,1.4,1.0,1.6,1.4,1.0,1.6,1.0,1.0,1.4,1.6,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.6,1.0
Argentina,4.0,1.0,1.0,2.0,1.0,8.0,7.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,2.4,3.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,1.0
Argentina,1.6,1.4,1.4,1.4,1.0,1.0,1.0,1.6,1.0,1.2,1.2,1.4,1.8,2.6,1.2,1.4,1.6,1.8,1.2,1.4,2.2,1.0,1.4,1.2,1.2,1.4,1.0,1.0
"Armenia, Rep. of",1.4,1.0,1.0,1.0,1.0,1.0,1.2,1.4,1.2,1.0,1.0,1.2,1.2,1.0,1.0,1.0,1.2,1.4,2.0,1.2,1.6,1.0,1.2,1.0,1.0,1.0,1.6,1.2
Australia,5.0,9.0,4.0,6.0,5.0,5.0,9.0,5.0,10.0,6.0,4.0,8.0,2.0,5.0,6.0,8.0,3.0,2.0,3.0,4.0,8.0,3.0,3.0,3.0,3.0,3.0,7.0,5.0
Australia,1.0,1.2,2.0,1.2,1.0,1.0,2.0,1.0,1.0,1.2,1.0,3.0,1.4,1.4,1.0,1.4,1.0,1.2,2.0,2.0,3.0,1.0,1.0,1.4,2.0,1.0,1.0,1.0
Austria,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.4,3.0,1.0,2.0,1.0,4.0,1.2,1.2,1.0,1.0,1.6,1.2,1.0,2.0,1.0,2.0,1.2,1.0,1.0
"Azerbaijan, Rep. of",3.0,1.6,1.0,1.2,1.0,2.0,1.0,1.2,1.0,1.0,1.0,1.6,1.2,1.0,1.0,1.0,1.4,1.0,1.4,1.2,1.0,1.4,1.2,1.2,1.0,1.0,1.6,1.2
