Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
"Afghanistan, Islamic Rep. of",7.036363636363638,7.043636363636364,7.050909090909092,7.0581818181818194,7.065454545454547,7.072727272727273,7.080000000000001,7.087272727272729,7.094545454545455,7.1018181818181825,7.10909090909091,7.116363636363638,7.123636363636364,7.130909090909092,7.1381818181818195,7.145454545454547,7.152727272727273,7.160000000000001,7.3,7.2,7.2,7.1,7.0,7.2,7.2,7.2,7.3,7.3
"Afghanistan, Islamic Rep. of",5.480000000000018,5.593333333333334,5.706666666666678,5.820000000000022,5.933333333333337,6.046666666666681,6.160000000000025,6.2733333333333405,6.3866666666666845,6.5,6.613333333333344,6.726666666666688,6.840000000000003,6.953333333333347,7.066666666666691,7.180000000000007,7.293333333333351,7.406666666666666,7.6,7.7,7.7,7.8,7.6,8.3,8.4,8.2,8.5,8.5
Albania,3.5454545454545396,3.527878787878784,3.510303030303028,3.492727272727265,3.4751515151515093,3.4575757575757535,3.4399999999999977,3.422424242424235,3.404848484848479,3.387272727272723,3.3696969696969674,3.3521212121212045,3.3345454545454487,3.316969696969693,3.299393939393937,3.281818181818174,3.2642424242424184,3.2466666666666626,3.4,3.2,3.2,3.2,3.0,2.9,3.2,3.0,3.2,3.2
Albania,1.956363636363637,1.9436363636363652,1.9309090909090898,1.918181818181818,1.9054545454545462,1.8927272727272744,1.879999999999999,1.8672727272727272,1.8545454545454554,1.84181818181818,1.8290909090909082,1.8163636363636364,1.8036363636363646,1.7909090909090892,1.7781818181818174,1.7654545454545456,1.7527272727272738,1.7399999999999984,1.8,1.7,1.7,1.9,1.5,1.4,1.8,1.4,1.8,1.7
Algeria,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Algeria,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.8999999999999995,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Angola,4.972727272727273,4.967272727272727,4.961818181818181,4.956363636363635,4.950909090909091,4.945454545454545,4.9399999999999995,4.934545454545454,4.929090909090908,4.923636363636364,4.918181818181818,4.912727272727272,4.907272727272726,4.9018181818181805,4.8963636363636365,4.890909090909091,4.885454545454545,4.879999999999999,4.9,4.9,4.8,4.8,4.9,4.9,4.8,4.8,4.9,4.8
Angola,4.7109090909090945,4.72909090909091,4.747272727272726,4.765454545454549,4.783636363636365,4.801818181818181,4.820000000000004,4.83818181818182,4.8563636363636355,4.8745454545454585,4.892727272727274,4.91090909090909,4.929090909090913,4.947272727272729,4.965454545454545,4.983636363636368,5.001818181818184,5.02,5.0,5.1,5.0,4.9,5.3,5.3,5.2,5.1,5.2,5.1
Antigua and Barbuda,3.3254545454545408,3.307878787878785,3.290303030303029,3.2727272727272734,3.2551515151515105,3.2375757575757547,3.219999999999999,3.202424242424243,3.18484848484848,3.1672727272727244,3.1496969696969686,3.1321212121212127,3.11454545454545,3.096969696969694,3.0793939393939382,3.0618181818181824,3.0442424242424195,3.0266666666666637,3.2,2.9,3.0,2.8,2.9,2.9,2.9,2.9,2.9,2.9
Antigua and Barbuda,2.3054545454545448,2.2745454545454535,2.2436363636363623,2.212727272727271,2.18181818181818,2.1509090909090887,2.1199999999999974,2.0890909090909062,2.058181818181815,2.027272727272724,1.9963636363636326,1.9654545454545413,1.9345454545454501,1.903636363636359,1.8727272727272677,1.8418181818181765,1.8109090909090853,1.779999999999994,1.9,1.6,1.8,1.4,1.6,1.7,1.6,1.5,1.5,1.5
Argentina,0.9254545454545564,1.0212121212121303,1.1169696969697043,1.2127272727272782,1.3084848484848521,1.404242424242426,1.5,1.595757575757574,1.6915151515151479,1.7872727272727218,1.8830303030302957,1.9787878787878697,2.0745454545454436,2.1703030303030175,2.2660606060605915,2.361818181818194,2.4575757575757677,2.5533333333333417,2.8,2.8,2.8,2.9,2.8,2.9,3.4,3.4,3.5,3.5
Argentina,-2.158181818181788,-1.9684848484848203,-1.7787878787878526,-1.589090909090885,-1.3993939393939172,-1.2096969696969495,-1.0199999999999818,-0.8303030303030141,-0.6406060606060464,-0.4509090909090787,-0.261212121212111,-0.07151515151508647,0.11818181818188123,0.3078787878788489,0.4975757575758166,0.6872727272727843,0.876969696969752,1.0666666666667197,1.5,1.6,1.5,1.7,1.6,1.8,2.9,2.8,2.8,2.9
"Armenia, Rep. of",3.590909090909091,3.589090909090909,3.587272727272727,3.585454545454545,3.5836363636363635,3.5818181818181816,3.5799999999999996,3.5781818181818177,3.576363636363636,3.5745454545454542,3.5727272727272723,3.5709090909090904,3.569090909090909,3.567272727272727,3.565454545454545,3.563636363636363,3.561818181818181,3.5599999999999996,3.6,3.6,3.5,3.5,3.4,3.4,3.8,3.9,3.4,3.4
"Armenia, Rep. of",2.378181818181808,2.4018181818181716,2.425454545454542,2.4490909090909057,2.472727272727269,2.4963636363636326,2.519999999999996,2.5436363636363595,2.567272727272723,2.5909090909090864,2.61454545454545,2.6381818181818133,2.6618181818181768,2.68545454545454,2.7090909090909037,2.732727272727267,2.7563636363636306,2.779999999999994,2.9,2.9,2.8,2.7,2.5,2.5,3.6,4.0,2.6,2.6
Australia,2.2163636363636314,2.2436363636363623,2.270909090909086,2.298181818181817,2.3254545454545408,2.3527272727272717,2.3799999999999955,2.4072727272727263,2.43454545454545,2.461818181818181,2.489090909090905,2.5163636363636357,2.5436363636363595,2.5709090909090904,2.598181818181814,2.625454545454545,2.652727272727269,2.6799999999999926,2.7,2.7,2.7,2.8,2.9,2.9,2.9,2.9,2.9,2.9
Australia,0.758181818181825,0.8151515151515127,0.8721212121212147,0.9290909090909167,0.9860606060606045,1.0430303030303065,1.1000000000000085,1.1569696969696963,1.2139393939393983,1.270909090909086,1.327878787878788,1.38484848484849,1.441818181818178,1.49878787878788,1.555757575757582,1.6127272727272697,1.6696969696969717,1.7266666666666737,1.8,1.8,1.8,1.9,2.1,2.2,2.2,2.2,2.2,2.2
Austria,1.7636363636363726,1.7830303030303085,1.8024242424242516,1.8218181818181876,1.8412121212121306,1.8606060606060666,1.8800000000000026,1.8993939393939456,1.9187878787878816,1.9381818181818247,1.9575757575757606,1.9769696969697037,1.9963636363636397,2.0157575757575827,2.0351515151515187,2.054545454545462,2.0739393939393977,2.093333333333341,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3
Austria,0.721818181818179,0.8048484848484918,0.8878787878788046,0.970909090909089,1.0539393939394017,1.136969696969686,1.2199999999999989,1.3030303030303116,1.386060606060596,1.4690909090909088,1.5521212121212216,1.635151515151506,1.7181818181818187,1.8012121212121315,1.8842424242424158,1.9672727272727286,2.0503030303030414,2.1333333333333258,2.1,2.2,2.6,2.6,2.6,2.6,2.6,2.6,3.0,3.0
"Azerbaijan, Rep. of",4.370909090909091,4.369090909090909,4.367272727272727,4.365454545454545,4.363636363636363,4.361818181818181,4.359999999999999,4.3581818181818175,4.356363636363636,4.3545454545454545,4.352727272727273,4.3509090909090915,4.34909090909091,4.347272727272728,4.345454545454546,4.343636363636364,4.341818181818182,4.34,4.5,4.4,4.3,4.3,4.1,4.2,4.3,4.4,4.4,4.4
"Azerbaijan, Rep. of",4.400000000000006,4.420000000000002,4.440000000000005,4.460000000000001,4.480000000000004,4.5,4.520000000000003,4.540000000000006,4.560000000000002,4.580000000000005,4.600000000000001,4.6200000000000045,4.640000000000001,4.660000000000004,4.68,4.700000000000003,4.720000000000006,4.740000000000002,4.9,4.9,4.9,4.9,4.4,4.3,5.0,5.2,5.0,5.0
"Bahamas, The",2.719999999999999,2.7333333333333307,2.746666666666666,2.759999999999998,2.7733333333333334,2.7866666666666653,2.799999999999997,2.8133333333333326,2.8266666666666644,2.84,2.8533333333333317,2.8666666666666636,2.879999999999999,2.893333333333331,2.9066666666666663,2.919999999999998,2.9333333333333336,2.9466666666666654,3.0,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.0
"Bahamas, The",1.7272727272727266,1.7327272727272724,1.7381818181818183,1.743636363636364,1.7490909090909081,1.754545454545454,1.7599999999999998,1.7654545454545456,1.7709090909090914,1.7763636363636355,1.7818181818181813,1.7872727272727271,1.792727272727273,1.798181818181817,1.8036363636363628,1.8090909090909086,1.8145454545454545,1.8200000000000003,1.8,1.8,1.9,1.8,1.8,1.8,2.0,2.0,1.9,1.7
"Bahrain, Kingdom of",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"Bahrain, Kingdom of",2.143636363636375,2.103030303030309,2.0624242424242567,2.0218181818181904,1.981212121212124,1.940606060606072,1.9000000000000057,1.8593939393939536,1.8187878787878873,1.778181818181821,1.7375757575757689,1.6969696969697026,1.6563636363636505,1.6157575757575842,1.5751515151515179,1.5345454545454658,1.4939393939393995,1.4533333333333474,1.5,1.4,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1
Bangladesh,6.5818181818181785,6.558181818181815,6.5345454545454515,6.510909090909088,6.487272727272725,6.463636363636361,6.439999999999998,6.416363636363634,6.392727272727271,6.369090909090907,6.345454545454544,6.3218181818181804,6.298181818181817,6.2745454545454535,6.25090909090909,6.227272727272727,6.203636363636363,6.18,6.2,6.1,6.1,6.0,6.2,6.0,6.0,6.0,5.9,6.0
Bangladesh,5.039999999999999,5.060000000000002,5.079999999999998,5.100000000000001,5.1200000000000045,5.140000000000001,5.160000000000004,5.18,5.200000000000003,5.219999999999999,5.240000000000002,5.260000000000005,5.280000000000001,5.300000000000004,5.32,5.340000000000003,5.359999999999999,5.380000000000003,5.4,5.4,5.3,5.3,5.9,5.4,5.6,5.7,5.4,5.5
Barbados,2.08,2.073333333333334,2.0666666666666664,2.0600000000000005,2.053333333333333,2.046666666666667,2.040000000000001,2.033333333333333,2.0266666666666673,2.0199999999999996,2.0133333333333336,2.006666666666666,2.0,1.993333333333334,1.9866666666666664,1.9800000000000004,1.9733333333333327,1.9666666666666668,2.1,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,1.9
Barbados,2.2054545454545433,2.174545454545452,2.143636363636361,2.1127272727272697,2.0818181818181785,2.0509090909090872,2.019999999999996,1.9890909090909048,1.9581818181818136,1.9272727272727224,1.8963636363636311,1.86545454545454,1.8345454545454487,1.8036363636363575,1.7727272727272663,1.741818181818175,1.710909090909091,1.6799999999999997,1.7,1.6,1.6,1.6,1.5,1.4,1.4,1.4,1.5,1.4
"Belarus, Rep. of",2.2509090909090905,2.249090909090909,2.247272727272727,2.245454545454545,2.243636363636363,2.2418181818181817,2.2399999999999998,2.238181818181818,2.2363636363636363,2.2345454545454544,2.2327272727272724,2.2309090909090905,2.229090909090909,2.227272727272727,2.225454545454545,2.223636363636363,2.2218181818181817,2.2199999999999998,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.9,2.5
"Belarus, Rep. of",0.7399999999999949,0.759999999999998,0.779999999999994,0.7999999999999972,0.8200000000000003,0.8399999999999963,0.8599999999999994,0.8799999999999955,0.8999999999999986,0.9199999999999946,0.9399999999999977,0.9600000000000009,0.9799999999999969,1.0,1.019999999999996,1.0399999999999991,1.0599999999999952,1.0799999999999983,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,0.8,1.7
Belgium,1.076363636363638,1.1103030303030295,1.144242424242421,1.1781818181818124,1.2121212121212182,1.2460606060606096,1.2800000000000011,1.3139393939393926,1.3478787878787841,1.3818181818181756,1.4157575757575813,1.4496969696969728,1.4836363636363643,1.5175757575757558,1.5515151515151473,1.5854545454545388,1.6193939393939445,1.653333333333336,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,2.0,2.0
Belgium,-0.15090909090906734,-0.05575757575755347,0.03939393939396041,0.13454545454547429,0.22969696969698816,0.32484848484850204,0.4200000000000159,0.5151515151515298,0.6103030303030437,0.7054545454545575,0.8006060606060714,0.8957575757575853,0.9909090909090992,1.086060606060613,1.181212121212127,1.2763636363636408,1.3715151515151547,1.4666666666666686,1.6,1.6,1.9,1.9,1.9,1.9,2.0,2.1,2.5,2.5
Belize,3.5818181818181785,3.638181818181806,3.694545454545448,3.75090909090909,3.807272727272718,3.8636363636363598,3.9199999999999875,3.9763636363636294,4.032727272727271,4.089090909090899,4.145454545454541,4.201818181818169,4.258181818181811,4.314545454545453,4.37090909090908,4.427272727272722,4.483636363636364,4.539999999999992,4.5,4.6,4.8,4.9,4.9,4.8,4.7,5.2,5.1,5.0
Belize,0.6199999999999761,0.7399999999999807,0.8599999999999852,0.9799999999999898,1.0999999999999943,1.2199999999999989,1.3400000000000034,1.4599999999999795,1.579999999999984,1.6999999999999886,1.8199999999999932,1.9399999999999977,2.0600000000000023,2.1799999999999784,2.299999999999983,2.4199999999999875,2.539999999999992,2.6599999999999966,2.8,2.7,3.1,3.4,3.3,3.2,3.0,4.2,3.9,3.6
Benin,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.200000000000001,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
Benin,4.356363636363632,4.3703030303030275,4.384242424242419,4.398181818181815,4.41212121212121,4.426060606060602,4.439999999999998,4.45393939393939,4.467878787878785,4.481818181818181,4.4957575757575725,4.509696969696968,4.52363636363636,4.537575757575755,4.551515151515147,4.565454545454543,4.579393939393938,4.59333333333333,4.6,4.5,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
Bhutan,4.301818181818177,4.258181818181811,4.214545454545444,4.170909090909092,4.127272727272725,4.083636363636359,4.039999999999992,3.9963636363636255,3.952727272727273,3.9090909090909065,3.86545454545454,3.8218181818181733,3.7781818181818068,3.7345454545454544,3.690909090909088,3.6472727272727212,3.6036363636363546,3.559999999999988,3.7,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.2
Bhutan,5.947272727272718,5.852727272727265,5.758181818181811,5.663636363636357,5.569090909090903,5.474545454545449,5.3799999999999955,5.285454545454542,5.190909090909088,5.096363636363634,5.00181818181818,4.907272727272726,4.8127272727272725,4.718181818181819,4.623636363636365,4.529090909090911,4.434545454545457,4.340000000000003,4.4,4.1,4.0,3.9,3.9,3.8,3.5,3.6,3.5,3.5
Bolivia,4.076363636363638,4.090303030303033,4.104242424242425,4.118181818181821,4.132121212121213,4.146060606060608,4.160000000000004,4.173939393939396,4.187878787878791,4.201818181818183,4.2157575757575785,4.22969696969697,4.243636363636366,4.257575757575761,4.271515151515153,4.285454545454549,4.299393939393941,4.313333333333336,4.4,4.4,4.3,4.4,4.3,4.2,4.5,4.4,4.5,4.5
Bolivia,2.865454545454554,2.894545454545458,2.923636363636369,2.95272727272728,2.981818181818184,3.010909090909095,3.0400000000000063,3.0690909090909173,3.0981818181818213,3.1272727272727323,3.1563636363636434,3.1854545454545544,3.2145454545454584,3.2436363636363694,3.2727272727272805,3.3018181818181844,3.3309090909090955,3.3600000000000065,3.6,3.5,3.3,3.6,3.3,3.1,3.7,3.6,3.7,3.8
Bosnia and Herzegovina,4.292727272727273,4.287272727272727,4.281818181818183,4.276363636363637,4.270909090909091,4.265454545454546,4.26,4.254545454545456,4.24909090909091,4.243636363636364,4.238181818181818,4.2327272727272724,4.227272727272728,4.221818181818183,4.216363636363637,4.210909090909091,4.205454545454545,4.200000000000001,4.1,4.3,4.4,4.2,4.0,4.0,4.1,4.1,4.3,4.2
Bosnia and Herzegovina,5.469090909090909,5.404242424242426,5.339393939393943,5.274545454545461,5.209696969696978,5.144848484848495,5.0800000000000125,5.01515151515153,4.950303030303019,4.885454545454536,4.820606060606053,4.7557575757575705,4.690909090909088,4.626060606060605,4.561212121212122,4.49636363636364,4.431515151515157,4.366666666666674,3.8,4.7,4.7,4.2,3.7,3.7,3.7,3.7,4.1,3.8
Botswana,4.758181818181818,4.728484848484854,4.698787878787883,4.669090909090912,4.6393939393939405,4.609696969696969,4.580000000000005,4.550303030303034,4.520606060606063,4.490909090909092,4.461212121212121,4.431515151515157,4.401818181818186,4.372121212121215,4.342424242424244,4.3127272727272725,4.2830303030303085,4.253333333333337,4.3,4.2,4.1,4.1,4.1,4.1,4.0,4.0,4.0,4.0
Botswana,5.4309090909090685,5.362424242424225,5.293939393939382,5.225454545454539,5.156969696969668,5.088484848484825,5.019999999999982,4.951515151515139,4.883030303030296,4.814545454545424,4.746060606060581,4.677575757575738,4.609090909090895,4.540606060606052,4.472121212121181,4.403636363636338,4.3351515151514946,4.2666666666666515,4.3,4.2,3.9,3.9,3.9,3.9,3.8,3.8,3.6,3.6
Brazil,3.183636363636367,3.2296969696969597,3.2757575757575665,3.3218181818181733,3.36787878787878,3.413939393939387,3.4599999999999937,3.5060606060606005,3.5521212121212073,3.598181818181814,3.644242424242421,3.6903030303030278,3.7363636363636346,3.7824242424242414,3.828484848484848,3.874545454545455,3.9206060606060618,3.9666666666666686,3.8,4.3,4.2,4.1,4.1,4.2,4.4,4.3,4.4,4.4
Brazil,1.4072727272727263,1.49939393939394,1.5915151515151535,1.6836363636363672,1.7757575757575808,1.8678787878787944,1.960000000000008,2.052121212121193,2.1442424242424067,2.2363636363636203,2.328484848484834,2.4206060606060475,2.512727272727261,2.6048484848484748,2.6969696969696884,2.789090909090902,2.8812121212121156,2.973333333333329,2.5,3.9,3.4,3.2,3.2,3.4,3.8,3.7,3.9,3.8
Brunei Darussalam,1.6581818181818164,1.668484848484848,1.6787878787878796,1.6890909090909076,1.6993939393939392,1.7096969696969708,1.7199999999999989,1.7303030303030305,1.740606060606062,1.75090909090909,1.7612121212121217,1.7715151515151497,1.7818181818181813,1.792121212121213,1.802424242424241,1.8127272727272725,1.8230303030303041,1.8333333333333321,1.8,1.8,1.8,2.0,2.0,1.9,1.9,1.9,1.9,1.9
Brunei Darussalam,0.42363636363636203,0.4496969696969657,0.4757575757575765,0.5018181818181802,0.5278787878787838,0.5539393939393946,0.5799999999999983,0.606060606060602,0.6321212121212127,0.6581818181818164,0.6842424242424201,0.7103030303030309,0.7363636363636346,0.7624242424242453,0.788484848484849,0.8145454545454527,0.8406060606060635,0.8666666666666671,0.9,0.8,0.8,1.2,1.1,1.1,1.0,1.0,1.1,1.1
Bulgaria,2.1690909090909116,2.1975757575757555,2.2260606060606065,2.2545454545454575,2.2830303030303014,2.3115151515151524,2.3399999999999963,2.3684848484848473,2.3969696969696983,2.425454545454542,2.453939393939393,2.482424242424244,2.510909090909088,2.539393939393939,2.56787878787879,2.596363636363634,2.624848484848485,2.653333333333336,2.8,2.7,2.8,2.8,2.7,2.7,2.7,2.7,3.1,3.1
Bulgaria,0.45454545454546746,0.545454545454561,0.6363636363636545,0.7272727272727195,0.818181818181813,0.9090909090909065,1.0,1.0909090909090935,1.181818181818187,1.2727272727272805,1.363636363636374,1.4545454545454675,1.545454545454561,1.6363636363636545,1.727272727272748,1.818181818181813,1.9090909090909065,2.0,2.1,2.3,2.4,2.5,2.4,2.3,2.3,2.3,3.2,3.2
Burkina Faso,4.2709090909091,4.322424242424262,4.373939393939409,4.425454545454556,4.476969696969704,4.528484848484865,4.5800000000000125,4.63151515151516,4.683030303030321,4.734545454545469,4.786060606060616,4.837575757575763,4.889090909090925,4.940606060606072,4.992121212121219,5.043636363636381,5.095151515151528,5.146666666666675,5.3,5.4,5.4,5.2,5.1,5.2,5.6,5.7,5.7,5.7
Burkina Faso,1.716363636363667,1.9369696969696975,2.157575757575785,2.378181818181872,2.5987878787879026,2.81939393939399,3.0400000000000205,3.260606060606108,3.4812121212121383,3.7018181818182256,3.922424242424256,4.1430303030303435,4.363636363636374,4.584242424242461,4.804848484848492,5.025454545454579,5.24606060606061,5.466666666666697,6.0,6.4,6.5,5.9,5.5,5.9,7.2,7.9,7.8,7.7
Burundi,5.189090909090908,5.177575757575756,5.166060606060604,5.1545454545454525,5.143030303030301,5.131515151515149,5.119999999999997,5.108484848484846,5.096969696969694,5.085454545454542,5.073939393939391,5.062424242424239,5.050909090909087,5.0393939393939355,5.027878787878787,5.016363636363636,5.004848484848484,4.993333333333332,5.1,4.9,4.9,4.9,5.0,4.9,4.9,4.9,4.9,4.9
Burundi,6.234545454545454,6.245454545454546,6.256363636363638,6.267272727272729,6.278181818181817,6.289090909090909,6.300000000000001,6.310909090909092,6.321818181818184,6.332727272727272,6.343636363636364,6.354545454545455,6.365454545454547,6.376363636363635,6.387272727272727,6.398181818181818,6.40909090909091,6.420000000000002,6.5,6.4,6.3,6.4,6.8,6.5,6.4,6.4,6.5,6.6
Cabo Verde,3.2181818181818187,3.1951515151515153,3.172121212121212,3.1490909090909085,3.126060606060605,3.1030303030303017,3.0799999999999983,3.056969696969702,3.0339393939393986,3.010909090909095,2.987878787878792,2.9648484848484884,2.941818181818185,2.9187878787878816,2.895757575757578,2.872727272727275,2.8496969696969714,2.826666666666668,2.9,2.8,2.8,2.7,2.7,2.6,2.5,2.5,2.7,2.8
