Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
"Afghanistan, Islamic Rep. of",0.359,-0.116,0.471,0.675,1.198,0.993,1.311,1.365,0.587,1.373,0.401,1.72,0.675,0.704,0.895,1.613,1.397,0.223,1.281,0.456,1.093,1.555,1.54,1.544,0.91,0.498,1.327,2.012
Albania,-0.172,-0.038,0.075,0.795,0.67,1.065,1.532,0.492,0.97,0.444,0.189,0.345,1.316,0.978,0.91,1.191,1.055,1.487,1.333,1.198,1.569,1.464,1.121,2.028,1.675,1.498,1.536,1.518
Algeria,0.595,0.846,1.059,1.109,1.476,0.82,1.856,1.258,1.585,0.988,1.264,1.395,1.22,1.185,0.945,2.265,1.398,1.147,1.192,1.69,1.121,1.757,1.512,1.21,1.115,1.926,2.33,1.688
American Samoa,0.755,0.784,0.5888,1.1496,0.242,0.626,0.904,1.152,0.716,0.191,0.801,0.403,1.032,0.67,0.9433999999999999,1.311,0.854,0.924,1.257,1.17,1.009,1.539,1.435,1.189,1.539,1.43,1.268,1.256
"Andorra, Principality of",1.279,0.57,1.788,1.018,1.055,1.05,1.48,0.835,1.949,0.936,0.851,1.485,1.024,0.946,1.413,0.471,1.677,1.265,0.831,1.946,1.69,1.99,1.925,1.919,1.964,2.562,1.533,3.243
Angola,0.753,0.37,0.107,1.064,0.417,0.169,0.295,0.735,0.889,0.414,1.021,0.561,0.885,0.501,0.708,1.194,0.88,0.552,1.044,0.828,1.331,1.609,0.87,1.395,1.752,1.162,1.553,1.212
Anguilla,0.651,0.35,0.459,1.06,0.532,0.264,0.587,0.706,0.816,0.521,0.828,0.691,0.957,0.411,0.566,1.09,0.489,0.64,0.77,0.814,1.051,1.125,0.96,0.664,0.843,1.224,0.893,0.839
Antigua and Barbuda,0.677,0.377,0.455,1.046,0.541,0.335,0.5482,0.634,0.783,0.501,0.843,0.659,0.934,0.394,0.498,1.153,0.586,0.696,0.783,0.744,1.035,1.097,0.958,0.627,0.797,1.131,0.862,0.77
Argentina,0.259,0.512,0.759,0.351,0.16,-0.186,0.425,0.278,0.635,0.47,0.281,0.596,-0.169,0.601,0.857,0.135,0.386,0.798,0.442,0.951,0.957,0.488,1.095,0.878,0.76,1.123,1.031,0.643
"Armenia, Rep. of",0.697,0.47,0.599,1.316,1.488,1.031,1.395,1.194,0.141,1.162,0.48,1.621,0.706,0.861,0.706,2.775,0.65,1.247,1.407,1.283,1.931,1.356,0.889,2.772,1.859,1.954,2.087,1.707
"Aruba, Kingdom of the Netherlands",0.802,0.37,0.504,1.1082,0.5636,0.2532,0.6284,0.7512,1.067,0.661,0.836,0.51,0.935,0.43500000000000005,0.5946,1.309,0.509,0.58,1.094,0.986,1.149,1.1582000000000001,1.303,0.698,1.007,1.281,0.9109999999999999,0.8452
Australia,0.413,0.604,0.383,1.092,0.58,0.148,0.336,0.736,0.835,0.723,1.211,0.721,0.929,0.625,1.03,0.673,0.208,0.308,1.499,1.198,1.087,1.172,1.141,1.129,1.422,1.416,0.629,0.754
